,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
3096,603603,博天环境,环境保护,北京,111.4,0.4,4.0,489132.34,313059.56,0.0,0.0,0.0,0.23,2.35,14.53,20170217,0.0,0.0,0.0,0.0,23.81,5.15,36286
3076,601212,白银有色,铜,甘肃,265.03,6.98,69.73,4442132.0,2379801.5,541705.94,324990.94,0.47,0.036,1.77,5.39,20170215,278830.59,0.4,1.9,127.23,3.06,0.45,526296
3011,300609,汇纳科技,互联网,上海,82.01,0.25,1.0,29602.91,27178.85,491.42,5702.33,0.57,0.64,3.41,11.62,20170215,11073.75,1.11,28.11,29.99,69.19,27.93,45678
2523,300615,欣天科技,元器件,深圳,55.67,0.2,0.8,30486.28,20036.81,4913.51,1408.49,0.18,0.556,3.28,12.58,20170215,10280.98,1.29,0.0,0.0,48.93,25.46,36743
1323,300612,宣亚国际,广告包装,北京,195.12,0.18,0.72,25120.46,22781.68,780.1,2129.62,0.3,0.384,2.93,34.15,20170215,7384.65,1.03,0.0,0.0,44.56,9.43,32979
2783,603839,安正时尚,服饰,浙江,37.3,0.71,2.85,178508.66,90542.8,54413.95,520.0,0.02,1.1,6.0,5.15,20170214,95596.18,3.35,-1.53,-3.21,70.63,19.57,63481
2333,603615,茶花股份,塑料,福建,57.4,0.6,2.4,92314.68,50840.93,35114.76,27307.65,1.14,0.51,4.64,4.71,20170213,35142.15,1.46,-1.38,1.43,33.28,13.63,63869
2744,603330,上海天洋,塑料,上海,64.02,0.15,0.6,47366.71,31308.25,10891.35,17653.56,2.94,1.19,8.06,7.1,20170213,12532.48,2.09,12.36,6.64,32.21,13.59,6906
393,300610,晨化股份,化工原料,江苏,54.18,0.25,1.0,45725.12,34945.35,5344.81,12699.3,1.27,0.457,5.07,6.51,20170213,13197.32,1.32,0.0,0.0,26.09,11.26,45000
1190,300608,思特奇,软件服务,北京,61.78,0.17,0.67,74128.55,71258.25,1968.81,9730.07,1.44,1.1,7.34,6.92,20170213,19451.82,2.89,11.58,16.99,41.28,8.09,14000
2506,002848,高斯贝尔,通信设备,湖南,65.19,0.42,1.67,114972.88,91186.78,11517.8,12636.03,0.76,0.48,4.9,4.78,20170213,33673.48,2.01,12.05,19.68,27.87,6.36,72405
1126,603208,江山欧派,家居用品,浙江,38.24,0.2,0.81,84931.38,56393.91,17864.67,9127.6,1.13,1.8,7.33,7.06,20170210,25555.02,3.16,16.62,16.68,31.75,14.27,21153
1733,603626,科森科技,专用机械,江苏,153.86,0.53,2.11,230305.0,152443.38,59011.25,87277.63,4.14,0.096,7.34,8.05,20170209,42076.31,2.0,0.0,0.0,28.6,6.57,22765
3041,603040,新坐标,机械基件,浙江,80.74,0.15,0.6,30778.52,13818.59,12881.12,3541.83,0.59,1.23,6.22,12.01,20170209,17468.9,2.91,34.13,20.23,65.11,35.1,15006
238,300607,拓斯达,专用机械,广东,103.38,0.18,0.72,54751.26,0.0,0.0,0.0,0.0,0.649,5.63,15.87,20170209,0.0,0.0,0.0,0.0,0.0,18.41,33272
1183,300605,恒锋信息,软件服务,福建,79.72,0.21,0.84,40461.5,36524.46,3484.38,8335.95,0.99,0.465,3.69,10.03,20170208,7771.31,0.93,6.19,10.85,27.03,11.82,15000
2736,603637,镇海股份,建筑施工,浙江,72.58,0.26,1.02,53798.67,42975.64,6287.52,2942.37,0.29,0.79,4.99,8.58,20170208,19412.95,1.9,-45.08,-18.39,34.67,19.8,13200
2046,300606,金太阳,矿物制品,广东,77.25,0.22,0.89,31539.24,17098.48,10568.51,3423.28,0.38,0.6,3.63,9.6,20170208,12647.03,1.42,6.98,23.87,36.15,18.25,41200
2053,002847,盐津铺子,食品,湖南,70.34,0.31,1.24,57583.73,22546.11,28614.84,7108.93,0.57,0.92,3.28,14.83,20170208,12448.92,1.0,17.09,30.89,49.19,12.53,53384
3055,603881,数据港,互联网,上海,118.22,0.53,2.11,108636.36,24827.35,51951.32,4575.37,0.22,0.27,2.5,17.07,20170208,18443.53,0.88,0.0,0.0,40.52,19.59,50979
3053,300601,康泰生物,生物制药,深圳,112.28,0.42,4.11,154066.98,55106.4,27172.19,19597.1,0.48,0.181,1.96,13.85,20170207,15691.07,0.38,0.0,0.0,75.48,21.88,73685
3090,603177,德创环保,环境保护,浙江,112.99,0.51,2.02,100971.78,83163.8,13589.65,1470.12,0.07,0.154,2.27,10.22,20170207,14785.67,0.73,0.0,0.0,31.08,6.77,45947
