,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
1405,002684,猛狮科技,电气设备,广东,128.31,2.15,3.78,616937.44,292212.94,130398.36,96789.57,2.56,0.29,4.77,6.69,20120612,25068.82,0.66,269.37,3276.11,23.12,4.62,15324
1350,300322,硕贝德,通信设备,广东,77.24,3.62,4.08,220965.8,114869.13,75378.81,8352.42,0.2,0.166,1.44,11.86,20120608,7877.11,0.19,143.53,285.01,19.48,5.23,20400
1561,002678,珠江钢琴,文教休闲,广东,85.07,9.54,9.56,291135.56,170213.8,65352.38,31810.0,0.33,0.121,2.06,6.64,20120530,60686.3,0.63,5.32,-5.57,31.17,9.89,23420
1542,002676,顺威股份,塑料,广东,303.88,4.0,4.0,179469.5,110126.38,47106.45,38074.21,0.95,0.07,2.7,10.41,20120525,25815.77,0.65,-1.12,173.14,21.04,2.9,6691
433,603002,宏昌电子,化工原料,广东,139.56,6.06,6.14,151076.05,98722.31,7010.93,9476.53,0.15,0.043,1.67,3.62,20120518,27498.86,0.45,-4.31,-57.12,11.54,2.93,33628
771,002672,东江环保,环境保护,广东,31.81,4.44,8.87,818914.88,271169.31,139722.55,51891.55,0.58,0.62,3.71,5.16,20120426,189298.05,2.13,8.91,60.53,36.12,20.4,44855
268,300310,宜通世纪,通信设备,广东,50.18,3.23,4.44,302224.47,188603.92,14681.48,146759.63,3.31,0.11,5.42,4.07,20120425,45832.39,1.03,35.05,20.91,24.67,10.19,24475
2863,300311,任子行,软件服务,广东,75.62,2.2,4.48,167962.19,56413.6,11510.37,50372.05,1.12,0.156,2.65,5.96,20120425,25131.68,0.56,82.51,142.94,65.23,18.58,32700
3147,002668,奥马电器,家用电器,广东,42.88,1.35,2.27,533468.69,330246.75,108351.47,49327.85,2.17,1.8,12.4,4.54,20120416,127206.22,5.6,7.21,11.61,32.76,5.91,9933
313,002670,国盛金控,多元金融,广东,49.37,1.39,9.36,2593055.0,1814743.0,33508.4,1002260.63,10.71,0.79,12.35,2.13,20120416,60130.76,0.64,-21.56,1803.97,16.86,60.51,12949
2018,601238,广汽集团,汽车整车,广东,25.94,42.53,64.66,8209222.5,3497118.0,1101808.38,877329.88,1.36,0.98,6.79,3.72,20120329,2553046.0,3.95,67.98,48.57,19.95,12.72,14407
1619,002666,德联集团,化工原料,广东,38.47,4.44,7.54,333895.88,239082.7,48491.1,98210.15,1.3,0.149,3.6,2.13,20120327,94972.93,1.26,15.46,6.07,20.01,7.31,35443
630,002663,普邦股份,建筑施工,广东,96.49,11.74,17.11,769851.31,588826.5,37225.6,144550.17,0.84,0.061,2.56,2.31,20120316,108039.55,0.63,11.75,-47.26,16.79,3.87,107759
1883,300297,蓝盾股份,软件服务,广东,71.26,6.28,11.75,585791.5,403301.88,51763.15,187181.52,1.59,0.13,2.88,4.0,20120315,37412.17,0.32,46.88,119.25,56.96,17.02,63436
138,002656,摩登大道,服饰,广东,0.0,2.56,4.1,336135.19,167484.45,38911.53,115820.86,2.83,-0.18,4.77,3.94,20120228,34507.55,0.84,5.56,-550.63,53.6,-11.74,8435
1654,601515,东风股份,广告包装,广东,21.72,11.12,11.12,581587.25,314716.0,130356.67,7085.11,0.06,0.51,3.13,3.54,20120216,192870.22,1.73,5.51,-23.54,44.78,24.2,16939
436,300281,金明精机,专用机械,广东,107.98,1.42,2.43,114636.85,62347.07,30004.18,23829.47,0.98,0.12,3.01,5.75,20111229,22906.06,0.94,7.34,4.14,35.08,11.82,7457
1416,002638,勤上股份,半导体,广东,209.77,9.31,15.19,338015.56,257839.38,30418.35,77214.07,0.51,0.032,2.43,3.71,20111125,50673.17,0.33,0.0,169.21,29.57,7.72,35014
239,300273,和佳股份,医疗保健,广东,33.04,5.59,7.88,418480.59,202538.77,14248.75,95731.34,1.22,0.289,3.12,4.07,20111026,65194.76,0.83,42.86,51.08,53.62,24.91,35830
1571,002616,长青集团,环境保护,广东,55.7,2.24,3.72,325569.28,95535.78,109575.88,123102.9,3.31,0.45,5.31,4.59,20110920,38113.7,1.02,19.12,48.8,25.65,8.56,10978
