date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2014-09-22,25.2,25.2,24.53,24.48,26348.32,-0.84,-3.31,24.968,25.398,24.907,29498.3,38654.11,48188.81,3.25
2014-09-19,25.05,25.42,25.37,24.86,24148.03,0.47,1.89,25.302,25.528,24.926,35756.45,40674.55,49645.92,2.98
2014-09-18,24.95,25.05,24.9,24.68,23283.54,-0.19,-0.76,25.442,25.599,24.873,40382.48,45481.06,49622.58,2.87
2014-09-17,24.94,25.19,25.09,24.57,26139.31,0.14,0.56,25.564,25.725,24.847,45415.7,56901.63,50054.64,3.22
2014-09-16,26.28,26.49,24.95,24.88,47572.3,-1.25,-4.77,25.72,25.801,24.812,49701.56,67354.43,50735.63,5.87
2014-09-15,26.19,27.12,26.2,26.09,57639.09,0.13,0.5,25.828,25.656,24.797,47809.91,65580.07,50669.1,7.11
2014-09-12,25.49,26.14,26.07,25.35,47278.14,0.56,2.19,25.754,25.333,24.691,45592.64,62044.52,49119.91,5.83
2014-09-11,25.79,26.19,25.51,25.26,48449.68,-0.36,-1.39,25.756,24.996,24.578,50579.64,60268.3,48520.78,5.97
2014-09-10,25.47,26.25,25.87,25.3,47568.59,0.38,1.49,25.886,24.77,24.506,68387.55,58663.32,48207.12,5.86
2014-09-09,25.8,25.8,25.49,25.12,38114.07,-0.34,-1.32,25.882,24.519,24.444,85007.3,58191.21,48969.2,4.7
2014-09-05,26.23,26.3,25.83,25.55,46552.71,-0.25,-0.96,25.484,24.415,24.37,83350.22,57723.51,49063.51,5.74
2014-09-04,26.16,26.36,26.08,25.68,72213.17,-0.08,-0.31,24.912,24.323,24.257,78496.4,58617.29,48248.78,8.9
2014-09-03,26.02,26.3,26.16,25.45,137489.2,0.31,1.2,24.236,24.146,24.117,69956.97,53764.09,46560.16,16.95
2014-09-02,23.77,25.85,25.85,23.56,130667.33,2.35,10.0,23.654,23.969,23.992,48939.09,43207.66,41807.32,16.11
2014-09-01,22.8,23.69,23.5,22.8,29828.7,0.53,2.31,23.156,23.823,23.886,31375.11,34116.83,38650.77,3.68
2014-08-29,22.69,23.02,22.97,22.49,22283.62,0.27,1.19,23.346,23.938,23.861,32096.8,35758.14,38615.85,2.75
2014-08-28,23.1,23.19,22.7,22.39,29515.98,-0.55,-2.37,23.734,24.049,23.851,38738.18,36195.3,39746.94,3.64
2014-08-27,23.3,23.59,23.25,22.95,32399.84,-0.11,-0.47,24.056,24.159,23.889,37571.21,36773.26,40293.78,3.99
2014-08-26,24.4,24.56,23.36,23.29,42847.43,-1.09,-4.46,24.284,24.242,23.906,37476.23,37750.93,42155.97,5.28
2014-08-25,24.91,24.91,24.45,24.37,33437.13,-0.46,-1.85,24.49,24.369,23.893,36858.55,39747.2,42554.88,4.12
2014-08-22,24.4,24.98,24.91,24.32,55490.53,0.6,2.47,24.53,24.324,23.828,39419.47,40403.51,43245.45,6.84
2014-08-21,24.39,24.47,24.31,24.05,23681.14,-0.08,-0.33,24.364,24.191,23.715,33652.42,37880.27,42108.68,2.92
2014-08-20,24.3,24.59,24.39,24.08,31924.9,0.0,0.0,24.262,24.087,23.635,35975.3,39356.23,43316.34,3.94
2014-08-19,24.7,24.78,24.39,24.15,39759.03,-0.26,-1.05,24.2,24.014,23.55,38025.62,40406.98,45508.07,4.9
2014-08-18,24.1,24.65,24.65,23.95,46241.76,0.57,2.37,24.248,23.949,23.559,42635.86,43184.71,45812.19,5.7
2014-08-15,23.81,24.17,24.08,23.77,26655.26,0.28,1.18,24.118,23.783,23.551,41387.55,41473.57,45786.31,3.29
2014-08-14,24.13,24.4,23.8,23.8,35295.54,-0.28,-1.16,24.018,23.653,23.569,42108.12,43298.57,46653.39,4.35
2014-08-13,24.5,24.54,24.08,23.72,42176.53,-0.55,-2.23,23.912,23.618,23.599,42737.17,43814.3,48420.85,5.2
2014-08-12,24.04,24.69,24.63,23.96,62810.19,0.63,2.62,23.828,23.569,23.67,42788.34,46561.02,49038.1,7.74
2014-08-11,23.56,24.15,24.0,23.42,40000.24,0.42,1.78,23.65,23.416,23.704,43733.56,45362.55,49452.43,4.93
2014-08-08,23.35,23.75,23.58,23.32,30258.08,0.31,1.33,23.448,23.332,23.796,41559.58,46087.39,50655.39,3.73
2014-08-07,23.58,23.81,23.27,23.25,38440.8,-0.39,-1.65,23.288,23.239,23.924,44489.03,46337.1,52923.28,4.74
2014-08-06,23.66,23.82,23.66,23.31,42432.4,-0.08,-0.34,23.324,23.182,24.061,44891.44,47276.44,56787.56,5.23
2014-08-05,23.03,23.94,23.74,22.83,67536.27,0.75,3.26,23.31,23.086,24.242,50333.71,50609.15,62488.58,8.33
2014-08-04,22.77,23.09,22.99,22.61,29130.35,0.21,0.92,23.182,23.169,24.531,46991.55,48439.66,67112.48,3.59
2014-08-01,23.15,23.66,22.78,22.75,44905.33,-0.67,-2.86,23.216,23.319,24.78,50615.2,50099.05,72037.72,5.54
2014-07-31,23.43,23.7,23.45,23.14,40452.84,-0.14,-0.59,23.19,23.484,25.016,48185.16,50008.21,80331.25,4.99
2014-07-30,23.11,23.83,23.59,22.68,69643.74,0.49,2.12,23.04,23.58,25.166,49661.45,53027.4,86557.41,8.59
2014-07-29,23.17,23.62,23.1,23.01,50825.49,-0.06,-0.26,22.862,23.77,25.419,50884.59,51515.18,89932.79,6.27
2014-07-28,22.62,23.29,23.16,22.48,47248.58,0.51,2.25,23.156,23.992,25.667,49887.78,53542.3,96623.38,5.83
2014-07-25,22.87,22.87,22.65,22.18,32755.16,-0.05,-0.22,23.422,24.259,25.901,49582.9,55223.38,100545.06,4.04
2014-07-24,22.46,22.78,22.7,21.92,47834.27,0.0,0.0,23.778,24.609,26.033,51831.25,59509.46,110512.95,5.9
2014-07-23,24.46,24.78,22.7,22.56,75759.47,-1.87,-7.61,24.12,24.94,26.076,56393.34,66298.69,116839.12,9.34
2014-07-22,24.3,24.75,24.57,24.2,45841.42,0.08,0.33,24.678,25.397,26.114,52145.77,74368.01,120890.55,5.65
2014-07-21,24.45,24.73,24.49,23.78,45724.17,0.06,0.25,24.828,25.893,26.053,57196.81,85785.29,129325.78,5.64
2014-07-18,24.52,24.78,24.43,24.01,43996.91,0.02,0.08,25.096,26.24,25.89,60863.87,93976.38,128086.84,5.42
2014-07-17,25.42,25.84,24.41,24.2,70644.75,-1.08,-4.24,25.44,26.547,25.634,67187.68,110654.3,127179.93,8.71
2014-07-16,25.27,25.88,25.49,24.93,54521.61,0.17,0.67,25.76,26.752,25.334,76204.03,120087.43,124845.34,6.72
2014-07-15,25.78,25.94,25.32,24.79,71096.63,-0.51,-1.97,26.116,27.068,25.009,96590.24,128350.39,123506.16,8.77
2014-07-14,26.25,26.33,25.83,25.2,64059.43,-0.32,-1.22,26.958,27.342,24.707,114373.77,139704.47,120982.25,7.9
2014-07-11,26.13,26.48,26.15,25.62,75615.97,0.14,0.54,27.384,27.542,24.388,127088.9,145866.73,119351.83,9.32
2014-07-10,27.0,27.59,26.01,25.9,115726.49,-1.26,-4.62,27.654,27.457,24.03,154120.92,161516.44,116741.39,14.27
2014-07-09,29.0,29.3,27.27,27.01,156452.69,-2.26,-7.65,27.744,27.212,23.667,163970.82,167379.56,111995.49,19.29
2014-07-08,27.83,29.6,29.53,27.32,160014.28,1.57,5.62,28.02,26.831,23.24,160110.54,167413.09,105834.67,19.73
2014-07-07,27.2,28.28,27.96,26.36,127635.07,0.46,1.67,27.726,26.213,22.682,165035.16,172866.26,98688.87,15.74
2014-07-04,26.6,29.11,27.5,26.58,210776.06,1.04,3.93,27.7,25.54,22.181,164644.56,162197.29,92883.1,25.99
2014-07-03,28.5,29.06,26.46,26.31,164976.02,-2.19,-7.64,27.26,24.72,21.718,168911.96,143705.55,83050.99,20.34
2014-07-02,28.22,29.33,28.65,27.43,137151.27,0.59,2.1,26.68,23.915,21.314,170788.29,129603.26,75508.12,16.91
2014-07-01,29.5,30.04,28.06,27.13,184637.38,0.23,0.83,25.642,22.949,20.777,174715.64,118661.93,69460.2,22.76
2014-06-30,25.08,27.83,27.83,25.07,125682.07,2.53,10.0,24.7,22.071,20.282,180697.36,102260.04,60892.06,15.5
2014-06-27,23.8,25.92,25.3,23.8,232113.08,1.74,7.38,23.38,21.233,19.809,159750.02,92836.92,55534.0,28.62
2014-06-26,24.1,24.38,23.56,23.03,174357.66,0.1,0.43,22.18,20.603,19.457,118499.14,71966.35,45175.0,21.5
2014-06-25,23.56,24.17,23.46,23.05,156788.03,0.11,0.47,21.15,20.121,19.203,88418.23,56611.41,38393.58,19.33
2014-06-24,23.35,23.35,23.35,22.59,214545.94,2.12,9.99,20.256,19.649,18.925,62608.22,44256.24,31191.97,28.34
2014-06-23,20.1,21.23,21.23,20.1,20945.39,1.93,10.0,19.442,19.151,18.655,23822.72,24511.47,21386.9,2.77
2014-06-20,18.4,19.35,19.3,18.36,25858.7,0.89,4.83,19.086,18.821,18.48,25923.83,23568.91,21074.47,3.42
2014-06-19,18.91,19.27,18.41,18.16,23953.08,-0.58,-3.05,19.026,18.716,18.389,25433.55,22396.43,20545.02,3.16
2014-06-18,19.53,19.9,18.99,18.8,27737.98,-0.29,-1.5,19.092,18.713,18.344,24804.6,21412.97,19841.76,3.66
2014-06-17,19.3,19.5,19.28,19.18,20618.45,-0.17,-0.87,19.042,18.605,18.259,25904.26,20258.47,18986.28,2.72
2014-06-16,19.09,19.55,19.45,18.9,31450.94,0.45,2.37,18.86,18.492,18.148,25200.22,19524.07,18428.42,4.15
2014-06-13,18.67,19.1,19.0,18.52,23407.31,0.26,1.39,18.556,18.385,18.027,21213.98,18231.08,17370.56,3.09
2014-06-12,18.7,18.87,18.74,18.41,20808.32,0.0,0.0,18.406,18.311,17.918,19359.31,18383.64,16735.91,2.75
2014-06-11,18.38,18.85,18.74,18.21,33236.29,0.37,2.01,18.334,18.284,17.852,18021.34,20175.75,16075.26,4.39
2014-06-10,18.09,18.38,18.37,17.83,17098.26,0.44,2.45,18.168,18.2,17.794,14612.68,18127.69,15035.79,2.26
2014-06-09,18.1,18.37,17.93,17.88,11519.73,-0.32,-1.75,18.124,18.159,17.754,13847.92,18262.33,14935.73,1.52
2014-06-06,18.42,18.56,18.25,18.15,14133.93,-0.13,-0.71,18.214,18.139,17.723,15248.17,18580.03,15190.72,1.87
2014-06-05,17.9,18.38,18.38,17.73,14118.49,0.47,2.62,18.216,18.062,17.661,17407.98,18693.6,15130.99,1.86
2014-06-04,18.1,18.27,17.91,17.55,16192.97,-0.24,-1.32,18.234,17.974,17.58,22330.16,18270.55,14911.21,2.14
2014-06-03,18.37,18.47,18.15,18.08,13274.5,-0.23,-1.25,18.232,17.912,17.546,21642.71,17714.1,14756.66,1.75
2014-05-30,18.16,18.58,18.38,18.16,18520.97,0.12,0.66,18.194,17.804,17.492,22676.73,17332.76,14703.0,2.45
2014-05-29,18.4,18.56,18.26,18.17,24932.97,-0.21,-1.14,18.064,17.668,17.414,21911.9,16510.04,14884.62,3.29
2014-05-28,17.89,18.66,18.47,17.84,38729.37,0.57,3.18,17.908,17.524,17.311,19979.23,15088.18,14819.92,5.12
2014-05-27,18.01,18.08,17.9,17.79,12755.72,-0.06,-0.33,17.714,17.419,17.19,14210.94,11974.76,14177.8,1.68
2014-05-26,17.73,17.96,17.96,17.6,18444.6,0.23,1.3,17.592,17.388,17.154,13785.49,11943.9,14459.94,2.44
2014-05-23,17.35,17.73,17.73,17.21,14696.82,0.45,2.6,17.414,17.349,17.116,11988.79,11609.14,14424.12,1.94
2014-05-22,17.55,17.84,17.48,17.45,15269.63,-0.02,-0.11,17.272,17.307,17.094,11108.18,11801.4,14316.61,2.02
2014-05-21,17.17,17.5,17.5,17.11,9887.95,0.21,1.22,17.14,17.26,17.089,10197.12,11568.37,14753.4,1.31
2014-05-20,17.22,17.59,17.29,17.12,10628.43,0.22,1.29,17.124,17.186,17.109,9738.58,11551.87,15224.48,1.4
2014-05-19,16.95,17.27,17.07,16.92,9461.11,0.05,0.29,17.184,17.179,17.164,10102.31,11799.22,15420.4,1.25
2014-05-16,16.83,17.15,17.02,16.72,10293.78,0.2,1.19,17.284,17.18,17.226,11229.5,12073.24,15564.7,1.36
2014-05-15,17.39,17.54,16.82,16.8,10714.34,-0.6,-3.44,17.342,17.159,17.286,12494.62,13259.2,16092.6,1.42
2014-05-14,17.51,17.57,17.42,17.37,7595.24,-0.17,-0.97,17.38,17.098,17.372,12939.62,14551.67,16375.16,1.0
2014-05-13,17.67,17.75,17.59,17.36,12447.07,0.02,0.11,17.248,16.961,17.423,13365.16,16380.84,16847.3,1.64
2014-05-12,17.27,17.74,17.57,17.11,15097.07,0.3,1.74,17.174,16.919,17.459,13496.14,16975.97,17696.66,1.99
2014-05-09,17.48,17.76,17.31,17.07,16619.37,0.3,1.76,17.076,16.882,17.527,12916.99,17239.1,18498.58,2.2
2014-05-08,16.7,17.36,17.01,16.67,12939.35,0.25,1.49,16.976,16.881,17.604,14023.77,16831.83,20082.46,1.71
2014-05-07,17.11,17.25,16.76,16.7,9722.92,-0.46,-2.67,16.816,16.918,17.68,16163.72,17938.43,20549.2,1.28
2014-05-06,17.09,17.47,17.22,17.0,13101.99,0.14,0.82,16.674,17.032,17.775,19396.52,18897.1,20805.95,1.73
2014-05-05,16.62,17.08,17.08,16.62,12201.31,0.27,1.61,16.664,17.148,17.843,20455.81,19041.57,21105.18,1.61
2014-04-30,16.36,16.86,16.81,16.27,22153.29,0.6,3.7,16.688,17.271,17.916,21561.22,19056.15,22189.82,2.93
2014-04-29,16.09,16.56,16.21,15.7,23639.11,0.16,1.0,16.786,17.412,18.034,19639.88,18926.01,22197.1,3.12
2014-04-28,17.01,17.06,16.05,16.03,25886.88,-1.12,-6.52,17.02,17.645,18.175,19713.14,18198.65,22415.17,3.42
2014-04-25,17.23,17.47,17.17,17.15,18398.44,-0.03,-0.17,17.39,17.885,18.34,18397.68,17313.76,22935.49,2.43
2014-04-24,17.29,17.53,17.2,17.19,17728.38,-0.1,-0.58,17.632,17.999,18.459,17627.33,18417.35,25655.29,2.34
2014-04-23,17.5,17.65,17.3,17.19,12546.61,-0.08,-0.46,17.854,18.172,18.659,16551.09,19758.06,33272.71,1.66
